,district,vendor,price,pricePerMeter,originalFlatId,area,market,floatFloor,roomsNumber,buildingMaterial,constructionYear,heating,condition,floorsNumber,availableDate,typeOfBuilding,elevator,snapshotDate
819,Praga-Południe,https://www.otodom.pl/shop/as-immobilia-sp-z-o-o-IDkEQY/,1170000,11584,4bJWl,101,wtórny,1,4,cegła,2011,miejskie,do zamieszkania,7,2021-02-17,blok,yes,2021-05-29
820,Ochota,nieznany,330000,13750,4bJUl,24,wtórny,3,1,cegła,1965,miejskie,do remontu,4,2021-02-17,kamienica,yes,2021-05-29
821,Ursynów,https://www.otodom.pl/shop/as-immobilia-sp-z-o-o-IDkEQY/,1199000,10900,4bJWd,110,wtórny,parter,4,cegła,2006,miejskie,do zamieszkania,7,2021-02-17,blok,yes,2021-05-29
822,Wawer,https://www.otodom.pl/shop/as-immobilia-sp-z-o-o-IDkEQY/,477403,5990,4bJWc,"79,70",pierwotny,2,3,cegła,2022,inne,do remontu,2,2021-02-17,dom wolnostojący,yes,2021-05-29
823,Wawer,https://www.otodom.pl/shop/as-immobilia-sp-z-o-o-IDkEQY/,"378360,90",7170,4bJWa,"52,77",pierwotny,1,3,cegła,2022,inne,do remontu,2,2021-02-17,dom wolnostojący,yes,2021-05-29
824,Śródmieście,nieznany,2572875,22500,4bHFN,"114,35",wtórny,1,3,cegła,2021,miejskie,do zamieszkania,5,2021-02-17,kamienica,yes,2021-05-29
825,Bielany,https://investorius.otodom.pl,639000,9537,4bJUS,67,wtórny,> 10,4,nieznany,1980,nieznane,do remontu,15,2021-02-17,nieznany,yes,2021-05-29
826,Targówek,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,320000,10667,4aIcT,30,wtórny,5,2,żelbet,1973,miejskie,do remontu,10,2021-02-17,blok,yes,2021-05-29
827,Wawer,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,1499000,11356,4buZz,132,wtórny,2,4,cegła,2005,gazowe,nieznany,2,2021-02-17,apartamentowiec,yes,2021-05-29
828,Wola,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,660000,11186,4bxXh,59,wtórny,10,3,wielka płyta,1970,miejskie,do remontu,11,2021-02-17,blok,yes,2021-05-29
829,Targówek,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,755000,9869,49PlW,"76,50",wtórny,8,4,wielka płyta,1980,miejskie,do zamieszkania,10,2021-02-17,blok,yes,2021-05-29
830,Targówek,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,699000,8535,49Pm0,"81,90",wtórny,parter,4,wielka płyta,1976,miejskie,do remontu,13,2021-02-17,blok,yes,2021-05-29
831,Żoliborz,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,840000,11667,47TYh,72,wtórny,3,3,nieznany,1994,miejskie,do zamieszkania,14,2021-02-17,blok,yes,2021-05-29
832,Śródmieście,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,1290000,18887,46d4V,"68,30",wtórny,2,3,cegła,1952,miejskie,do zamieszkania,4,2021-02-17,kamienica,yes,2021-05-29
833,Wola,https://nikodom.otodom.pl,465000,11625,4bJUp,40,wtórny,1,2,cegła,1950,miejskie,do zamieszkania,3,2021-02-17,blok,yes,2021-05-29
