,name,since,address,province,postcode,city,url
361,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
362,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
363,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
364,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
365,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
366,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
367,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
368,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
369,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
370,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
371,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
372,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
373,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
374,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
375,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
376,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
377,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
378,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
379,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
380,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
381,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
382,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
383,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
384,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
385,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
386,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
387,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
388,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
389,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
390,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
391,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
392,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
393,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
394,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
395,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
396,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
397,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
398,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
399,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
400,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
401,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
402,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
403,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
404,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
405,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
406,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
407,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
408,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
409,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
410,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
411,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
412,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
413,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
414,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
415,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
416,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
417,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
418,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
419,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
420,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
421,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
422,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
423,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
424,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
425,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
426,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
427,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
428,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
429,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
430,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
431,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
432,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
433,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
434,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
435,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
436,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
437,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
438,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
439,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
440,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
441,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
442,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
443,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
444,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
445,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
446,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
447,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
448,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
449,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
450,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
451,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
452,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
453,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
454,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
455,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
456,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
457,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
458,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
459,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
460,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
461,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
462,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
463,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
464,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
465,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
466,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
467,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
468,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
469,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
470,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
471,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
472,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
473,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
474,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
475,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
476,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
477,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
478,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
479,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
480,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
481,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
482,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
483,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
484,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
485,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
486,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
487,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
488,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
489,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
490,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
491,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
492,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
493,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
494,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
495,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
496,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
497,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
498,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
499,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
500,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
501,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
502,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
503,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
504,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
505,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
506,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
507,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
508,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
509,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
510,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
511,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
512,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
513,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
514,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
515,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
516,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
517,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
518,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
519,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
520,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
521,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
522,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
523,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
524,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
525,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
526,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
527,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
528,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
529,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
530,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
531,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
532,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
533,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
534,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
535,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
536,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
537,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
538,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
539,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
540,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
