Cordia Polska,27.01.2021,ul. Koszykowa 63,mazowieckie,00-667,Warszawa,https://www.otodom.pl/shop/cordia-polska-IDvQaF/
KP Development Sp. z o. o. Sp. Komandytowa,05.11.2020,Franciszka Klimczaka 17/80,mazowieckie,02-797,Warszawa,https://www.otodom.pl/shop/kp-development-sp-z-o-o-sp-komandytowa-IDvkPq/
Wiślany Klif,15.10.2019,Ustrzycka 5,mazowieckie,02-141,Warszawa,https://www.otodom.pl/shop/wislany-klif-IDtH1D/
Atelier Invest,01.03.2013,Wał Miedzeszyński 48,mazowieckie,04-987,Warszawa,https://www.otodom.pl/shop/atelier-invest-ID2l6H/
MAXDOM DEVELOPER,17.07.2011,Zwoleńska 22/4,mazowieckie,04-761,Warszawa,https://maxdomdeveloper.otodom.pl
AMG Trading sp. z o.o.,04.12.2019,ul. Ryżowa 49,mazowieckie,02-495,Warszawa,https://www.otodom.pl/shop/amg-trading-sp-z-o-o-IDtXCX/
Aras 4 sp.zo.o spółka komandytowa,22.02.2017,"Kadetów 59, 03-987 Warszawa",mazowieckie,03-987,Warszawa,https://www.otodom.pl/shop/aras-4-sp-zo-o-spolka-komandytowa-IDa0Oa/
SABE Investments Sp. z o.o.,29.04.2020,Gwiaździsta 5b lok. 5,mazowieckie,01-651,Warszawa,https://www.otodom.pl/shop/sabe-investments-sp-z-o-o-IDuYTj/
DOMYVILLE PBI,20.06.2014,Braniewska 11,mazowieckie,03-090,Warszawa,https://domyville.otodom.pl
VICTORIA DOM S.A,30.09.2016,Ul. Kąty Grodziskie 105,mazowieckie,03-289,Warszawa,https://www.otodom.pl/shop/victoria-dom-s-a-ID8qvK/
Meinhof Sp. z o.o. Sp. Kom.,06.11.2018,ul. Kadetów 59 lok. 5,mazowieckie,03-987,Warszawa,https://meinhof.otodom.pl
Mota-Engil Real Estate Management Sp. z o. o.,11.05.2020,Aleje Jerozolimskie 100,mazowieckie,00-807,Warszawa,https://www.otodom.pl/shop/mota-engil-real-estate-management-sp-z-o-o-IDw2LJ/
Eiffage Immobilier Polska Sp. z o.o.,30.11.2017,Postępu 5A,mazowieckie,02-676,Warszawa,https://www.otodom.pl/shop/eiffage-immobilier-polska-sp-z-o-o-IDe4vU/
AS HOUSE,17.06.2020,PIĘKNA 24/26A,mazowieckie,00-549,Warszawa,https://www.otodom.pl/shop/as-house-IDwhHP/
Radius Projekt,09.03.2017,Al. Jerozolimskie 200 bud. 2 lok. 300,mazowieckie,02-486,Warszawa,https://radiusprojekt.otodom.pl
GP A. Krasuski i Wspólnicy Sp. j.,13.03.2019,Przecławska 8,mazowieckie,03-879,Warszawa,https://www.otodom.pl/shop/gp-a-krasuski-i-wspolnicy-sp-j-IDoGo4/
Ostoja Development Sp. z o.o.,07.11.2018,Al. Jerozolimskie 81,mazowieckie,02-001,Warszawa,https://www.otodom.pl/shop/ostoja-development-sp-z-o-o-IDlXS8/
WAN S.A.,23.12.2019,al. Jana Pawła II 80/10,mazowieckie,00-175,Warszawa,https://www.otodom.pl/shop/wan-s-a-IDu2Tj/
AS HOUSE,16.06.2020,PIĘKNA 24/26A,mazowieckie,00-549,Warszawa,https://www.otodom.pl/shop/as-house-IDwhHS/
VIVA INVEST Sp. z o.o,24.01.2013,Juliusza Ordona 12,mazowieckie,01-237,Warszawa,https://www.otodom.pl/shop/viva-invest-sp-z-o-o-ID2hGZ/
Quatro Development Sp. z o.o. i Wspólnicy Sp. k.,26.06.2018,"Pulawska, 405A/102",mazowieckie,02-801,Warszawa,https://www.otodom.pl/shop/quatro-development-sp-z-o-o-i-wspolnicy-sp-k-IDiC9V/
SJM Apartments Sp. z o.o. sp. k.,20.03.2020,Leszno 14,mazowieckie,01-192,Warszawa,https://www.otodom.pl/shop/sjm-apartments-sp-z-o-o-sp-k-IDuMKl/
